title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Todo%20App;1.png
Webmap;A simple webmap program created using Python and Folium;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Webmap;map.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/PDF%20Templates;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/PDF%20Invoices;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Positive%20News%20Site;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Weather%20API;6.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Download%20Cleaner;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Tour%20Scraper;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Helper%20Chatbot;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the OpenAI API.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Open%20Domain%20Chatbot;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Webcam%20Motion%20Detector;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Typing%20Analyzer;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Internet%20Speed%20Analysis;13.png
Monitoring Data;A program that monitors a particular website and records the data.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Monitoring%20Data;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Visualizing%20Data;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Visualizing%20Weather%20Forecast;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Student%20Management%20System;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/School%20Management%20System;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/JRRyan606/restaurant-menu-web-app;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://github.com/JRRyan606/List-of-20-python-projects/tree/main/Online%20Store;20.png
